c.4.12.2,A hymn to Martu (Martu B)

c.4.12.1,A šir-gida to Martu (Martu A)

c.4.29.1,A šir-gida to Nuska (Nuska A)

c.4.29.2,A šir-gida to Nuska (Nuska B)

c.4.08.31,A balbale to Inana (Dumuzid-Inana E1)

c.4.08.30,A song of Inana and Dumuzid (Dumuzid-Inana D1)

c.4.08.33,Dumuzid and Enkimdu

c.4.08.32,A song of Inana and Dumuzid (Dumuzid-Inana F1)

c.4.25.1,A šir-gida (?) to Ninšubur (Ninšubur A)

c.4.25.2,A hymn to Ninšubur (Ninšubur B)

c.4.16.2,A šir-namšub to Nisaba (Nisaba B)

c.4.16.1,A hymn to Nisaba (Nisaba A)

c.2.4.2.18,Šulgi and Ninlil's barge: a tigi (?) to Ninlil  (Šulgi R)

c.4.27.a,A hymn to Ninurta

c.4.02.1,A hymn to Bau's beneficent protective goddess (Bau A)

c.2.5.1.2,Išbi-Erra and Kindattu (Išbi-Erra B)

c.2.5.1.3,A tigi to Nanaya for Išbi-Erra (Išbi-Erra C)

c.2.5.1.4,A hymn to Ninisina for Išbi-Erra (Išbi-Erra D)

c.1.8.2.4,Enmerkar and En-suhgir-ana

c.1.8.2.1,Lugalbanda in the mountain cave

c.1.8.2.3,Enmerkar and the lord of Aratta

c.1.8.2.2,Lugalbanda and the Anzud bird

c.4.27.07,A šir-namšub to Ninurta (Ninurta G)

c.4.27.06,A balbale to Ninurta (Ninurta F)

c.4.27.04,A tigi to Ninurta (Ninurta D)

c.4.27.03,A hymn to Ninurta (Ninurta C)

c.4.27.02,Ninurta's journey to Eridug: a šir-gida to Ninurta (Ninurta B)

c.4.27.01,A šir-gida to Ninurta (Ninurta A)

c.0.2.08,OB catalogue from Nibru (N4)

c.0.2.05,OB catalogue from Urim (U3)

c.0.2.04,OB catalogue from Urim (U2)

c.0.2.07,OB catalogue possibly from Zimbir (B1)

c.0.2.06,OB catalogue from Nibru (N3)

c.0.2.01,OB catalogue from Nibru (N2)

c.0.2.03,OB catalogue from Urim (U1)

c.0.2.02,OB catalogue in the Louvre (L)

c.2.5.7.2,An adab to Enlil for Būr-Suen (Būr-Suen B)

c.2.5.7.1,An adab to Ninurta for Būr-Suen (Būr-Suen A)

c.2.4.4.9,A praise poem of Šu-Suen (Šu-Suen I)

c.6.2.1,Proverbs: from Nibru

c.2.5.5.8,An ua-di to Inana for Lipit-Eštar (Lipit-Eštar H)

c.2.5.5.4,An adab to Ninurta for Lipit-Eštar (Lipit-Eštar D)

c.2.4.4.1,A balbale to Bau for Šu-Suen (Šu-Suen A)

c.2.4.4.2,A balbale to Inana for Šu-Suen (Šu-Suen B)

c.2.4.4.3,A balbale to Inana for Šu-Suen (Šu-Suen C)

c.2.4.4.4,A tigi (?) to Ninurta for Šu-Suen (Šu-Suen D)

c.2.4.4.5,An adab to An for Šu-Suen (Šu-Suen E)

c.2.4.4.6,An adab (?) to Suen for Šu-Suen (Šu-Suen F)

c.2.5.5.3,An adab to An for Lipit-Eštar (Lipit-Eštar C)

c.4.08.a,A balbale to Inana

